Artist,Artwork,Year,Gen,Materiality,Methodology,Actor Relationships & Configuration,Ethical Approach,Aesthetic Strategy,Epistemic Function,Philosophical Stance,Social Context,Audience Engagement,Temporal Scale,Spatio Scale,Power and Capital Critique,Documentation & Representation
Joe Davis,Microvenus,1986,1,"DNA Base Sequence, Microorganism (Bacteria)","Gene Editing, Bioinformatics","Artist-Led, Autonomous Biological Processes","Instrumental, Reflective","Conceptual, Data Aesthetics","Social Criticism, Knowledge Production, Future Proposal","Post-Anthropocentrism, Ecofeminism","Laboratory, Science Research Institute","Interpretive Engagement, Observational","Evolutionary, Intergenerational","Molecular Unit, Cell Unit","Institutional Criticism, Intellectual Property Rights","Microscope Image, Diagram, Research Notes, Publication"
Joe Davis,Poetica Vaginal,1986,1,"Biosignals, Data","Biosensing, Data Visualization, Telepresence","Artist-Led, Human-Centered Creation","Instrumental, Provocative","Conceptual, Performative, Auditory (Sound)","Social Criticism, Provocation And Controversy","Post-Anthropocentrism, Ecofeminism","Science Research Institute, Public Places (Universe)","Interpretive Engagement, Observational","Momentary, Temporary","Global Network, Macro","Institutional Criticism, Governance","Data Visualization, Lecture Performance, Narrative"
Joe Davis,Audio Microscope,2000,1,"Microorganism, Biosignals","Biosensing, Microscopic Observation","Artist-Led, Interspecies Co-Creation","Reflective, Relational Ethics",Multisensory (Auditory),"Knowledge Production, Epistemological Things, Science Communication","Relational Ontology, New Materialism","Laboratory, Art Gallery","Interactive, Observational",Continuous,"Micro, Cell Unit",,"Live Video, Lecture Performance, Research Notes"
George Gessert,Iris Series,1985-,1,"Plant, Genetic Diversity","Ecological Assembly, Artificial Selection","Interspecies Co-Creation, Human-Nonhuman Collaboration","Symbiotic, Care-Based, Relational Ethics","Biological Morphology, Change And Growth","Arts-Based Research, Knowledge Production","Biocentrism, Deep Ecology","Natural Environment, Art Gallery","Observational, Contemplative, Interpretive Engagement","Evolutionary, Intergenerational","Individual Unit, Cluster Unit","Bio Capital (Critical), Commercialization (Critical)","Photographic Records, Publication, Research Notes, Material Residue"
George Gessert,Horticultural Practice,1970s-,1,Plant (Various Species),"Ecological Assembly, Artificial Selection","Interspecies Co-Creation, Autonomous Biological Processes","Symbiotic, Reciprocity, Care-Based","Biological Morphology, Patterns And Textures, Wildness","Social Criticism (Commercialism), Arts-Based Research","Biocentrism, Relational Ontology","Natural Environment, Private Studio","Observational, Contemplative","Evolutionary, Long-Term Project","Individual Unit, Cluster Unit",Commercialization (Critical),"Photographic Records, Publication"
Stelarc,Third Hand,1980,1,"Human Body, Mixture (Cyborg)","Robotics, Biosensing, Surgical Modification (Non-Invasive Attachment)","Artist-Led, Human-Machine Collaboration","Reflective, Provocative","Performative, Bizarre, Ambiguity Of Boundaries","Provocation And Controversy, Future Proposal, Art As Experiment","Posthumanism, Transhumanism, Cyborg Theory","Art Gallery, Gallery, Public Places","Observational, Interpretive Engagement","Long-Term Project, Continuous",Human Body Size,Institutional Criticism,"Photographic Records, Live Video, Lecture Performance"
Stelarc,Stomach Sculpture,1993,1,"Human Body, Mixture","Surgical Modification (Non-Invasive Attachment), Robotics","Artist-Led, Intention And Control","Provocative, Reflectivity","Performative, Uncanny, Aversion","Provocation And Controversy, Knowledge Production (Physical Experience)","Posthumanism, New Materialism","Laboratory (Clinic), Art Gallery","Observational, Passive Viewing","Temporary, Short-Term Exhibition","Human Body Size, Micro",,"Live Video (Endoscopy), Photographic Records, Material Residue"
Stelarc,Ear on Arm,2006-,1,"Human Body, Tissue Culture, Anti-Life, Cyborg","Tissue Engineering, Cell Culture, Surgical Modification (Non-Invasive Attachment), Telepresence","Artist-Led, Audience Intervention (Future)","Provocative, Neuroethics, Posthuman Ethics","Performative, Grotesque, Change And Growth","Future Proposal, Provocation And Controversy","Posthumanism, Transhumanism, Relational Ontology","Laboratory, Art Gallery, Online Platform","Interactive (Future), Observational","In Progress, Evolutionary",Human Body Size,,"Photographic Records, Time-Lapse Video, Research Notes, Lecture Performance"
Joe Davis,Bacterial Radio,2012,1,"Microorganism, Mixture","Biohacking, Gene Editing",Artist-Organism Joint Action,Functional Creation,Functional Aesthetics,Dismantling Scientific Boundaries,New Materialism,Laboratory,Observational,Real-Time,Micro-Macro,Deauthorization Of Knowledge,Living System
Stelarc,Suspensions,1976,1,Human Body,Body Art Performance,Extreme Experiences Of The Artist's Body,Self-Experimentation,Spectacle Of Patience,An Empirical Exploration Of Bodily Limits,Posthumanism,Gallery,Observational,Temporary,Architectural,,"Picture, Video Record"
Eduardo Kac,Genesis,1999,2,"DNA Base Sequence, Microorganism (Bacteria)","Transformation, Bioinformatics, Telepresence","Artist-Led, Audience Intervention, Autonomous Biological Processes","Reflective, Instrumental, Provocative","Conceptual, Data Aesthetics","Provocation And Controversy, Social Criticism, Arts-Based Research, Knowledge Production","Post-Anthropocentrism, Criticism Of Anthropocentrism","Art Gallery, Online Platform","Interactive, Interpretive Engagement","Short-Term Exhibition, Continuous",Micro,"Biopolitics, Intellectual Property Rights","Live Video, Data Visualization, Material Residue (Translated Text)"
Eduardo Kac,GFP Bunny,2000,2,"Animal (Rabbit), Transgenic Genes",Gene Editing (Transformation),"Artist-Led, Multi-Actor Network (Scientists, Institutions)","Provocative, Reflective, Relational Ethics","Spectacle, Conceptual, Uncanny","Provocation And Controversy, Social Criticism","Posthumanism, Criticism Of Speciesism, Right To Life","Laboratory, Art Gallery (Absence), Media Space","Interpretive Engagement, Discursive Engagement",In Progress,Individual Unit,"Biopolitics, Institutional Criticism","Photographic Records, Narrative (Campaign), Publication, Dictation"
Oron Catts & Ionat Zurr,Pig Wings Project,2001,2,"Anti-Life, Tissue Culture (Pig Stem Cells)","Tissue Engineering, Cell Culture","Artist-Led, Autonomous Biological Processes","Reflectivity, Care-Based, Ontological Rights","Uncanny, Bizarre, Conceptual","Provocation And Controversy, Future Proposal, Raising Ethical Questions","Posthumanism, New Materialism, Relational Ontology","Laboratory, Art Gallery","Observational, Interpretive Engagement","Short-Term Exhibition, Extinction",Individual Unit,Biopolitics,"Material Residue (Preserved Fragments), Photographic Records, Research Notes"
Oron Catts & Ionat Zurr,Victimless Leather,2004,2,"Anti-Life, Tissue Culture, Cell Lines","Tissue Engineering, Cell Culture, Aseptic Technology","Artist-Led, Autonomous Biological Processes, Creation","Care-Based, Responsible Research And Innovation, Vulnerability, Relational Ethics","Change And Growth, Extinction And Decay, Aversion","Provocation And Controversy, Institutional Criticism, Epistemological Things","New Materialism, Posthumanism, Ecofeminism","Laboratory, Art Gallery","Observational, Interpretive Engagement (Observing The Ceremony)","Continuous, Temporary",Individual Unit,"Biopolitics, Labor, Institutional Criticism","Live Video, Photographic Records, Material Residue, Performance Record"
Art Orienté Objet,May the Horse Live in Me,2011,2,"Human Body, Animal (Rabbit), Mixture","Mithridatism, Body Modification, Interspecies Performance","Artist-Led, Interspecies Co-Creation","Symbiotic, Interdependence, Relational Ethics","Performative, Sublime, Ambiguity Of Boundaries","Provocation And Controversy, Arts-Based Research, Knowledge Production","Posthumanism, Criticism Of Speciesism, Cyborg Theory","Art Gallery, Performance Space","Observational, Interpretive Engagement","Continuous, Temporary",Human Body Size,Biopolitics,"Live Video (Performance), Photographic Records, Material Residue (Freeze-Dried Blood)"
Wim Delvoye,Cloaca,2000,2,Life-Machine Hybrid,"Robotics, Mechanical Engineering, Chemical Engineering","Artist-Led, Intention And Control","Instrumental, Objectification","Spectacle, Grotesque, Olfactory (Smell)","Social Criticism, Institutional Criticism, Provocation And Controversy",Anthropocentrism,"Art Gallery, Biennale","Observational, Passive Viewing","Short-Term Exhibition, Continuous",Installation Scale,"Commercialization, Institutional Criticism","Material Residue (Vacuum-Packed Excrement), Diagram, Photographic Records"
Zbigniew Oksiuta,Biological Habitat,2007,2,"Synthetic Life Forms (Imitation), Biological Polymers (Gelatin)","Self-Organization, Zero Gravity Simulation, Speculative Design","Autonomous Biological Processes, Artist-Led (Environmental Design)",,"Biological Morphology, Conceptual","Future Proposal, World Building","Technological Utopianism, Posthumanism","Art Gallery, Laboratory","Observational, Interpretive Engagement",Evolutionary,Building Scale,,"Diagram, Research Notes, Prototype Model, Photographic Records"
